ID,comp1,GroupContrib,importance
1241_338.0878_2.1,2.624107273512774,wild type control_9,0.04644619526714822
982_174.1129_1.66,2.6079449883110892,wild type control_9,0.046160125920053315
1243_360.0698_2.1,2.600148025847344,wild type control_9,0.0460221211804083
429_271.0728_0.48,2.5997354644999717,wild type control_9,0.04601481892371584
1566_301.0252_2.43,2.593664205433484,wild type control_9,0.045907358803100394
2801_533.3268_3.59,2.5918772502984457,wild type control_9,0.04587573004006416
2070_265.0265_2.9,2.591521752203632,wild type control_9,0.04586943779199355
2068_263.0297_2.9,2.589550784031634,wild type control_9,0.04583455203350875
434_249.0909_0.49,2.5880127993254303,wild type control_9,0.0458073299992942
3060_240.1599_3.9,2.5862230859035917,wild type control_9,0.045775652415110814
935_243.0666_1.54,2.581475676352128,wild type control_9,0.04569162417691107
1094_277.0277_1.92,2.5811891495127735,wild type control_9,0.045686552706828934
852_221.0223_1.25,2.580671410982022,wild type control_9,0.04567738883417047
1428_109.065_2.33,2.575440287902012,wild type control_9,0.0455847989593231
2066_261.0327_2.9,2.575378318039497,wild type control_9,0.04558370210464643
4329_658.4751_5.54,2.56868239732263,Ctns gene knockout_9,-0.045465185592669904
848_201.0371_1.24,2.565248723247055,wild type control_9,0.045404410220333695
844_199.0401_1.24,2.56302013738517,wild type control_9,0.04536496467816569
4346_614.4488_5.56,2.55550066615239,Ctns gene knockout_9,-0.04523187148006793
4369_570.4225_5.58,2.554654250936817,Ctns gene knockout_9,-0.045216890093149636
1569_279.0433_2.43,2.554505998066271,wild type control_9,0.045214266045785496
698_199.0401_0.89,2.551550068923604,wild type control_9,0.04516194666709928
701_201.0371_0.89,2.5494473042872756,wild type control_9,0.04512472813648295
2927_348.2754_3.75,2.5447076353751843,wild type control_9,0.04504083690611495
502_222.08_0.53,2.539382328656712,wild type control_9,0.04494657999893732
3170_249.0664_4.04,2.5382233414471593,Ctns gene knockout_9,-0.04492606614769718
468_128.0708_0.51,2.534452110182687,wild type control_9,0.044859316077882856
4384_526.3961_5.61,2.534158897217011,Ctns gene knockout_9,-0.044854126264647666
350_128.0708_0.47,2.530022863072878,wild type control_9,0.0447809192538562
710_244.0982_0.9,2.52832944644876,wild type control_9,0.04475094610451649
504_244.062_0.56,2.5252412319688275,wild type control_9,0.044696285300741594
1502_186.1128_2.39,2.520977466299989,wild type control_9,0.04462081746647004
714_172.0971_0.91,2.520891860441075,Ctns gene knockout_9,-0.044619302259192015
1424_184.0972_2.33,2.5195923966494758,wild type control_9,0.04459630199940218
1561_283.0372_2.43,2.5155402315287367,wild type control_9,0.04452457945423327
591_210.0529_0.68,2.515298025157242,wild type control_9,0.04452029244792872
1311_263.1396_2.21,2.5108381168671623,Ctns gene knockout_9,-0.04444135292689407
2223_519.1144_3.05,2.507077359334609,wild type control_9,0.04437478824012517
1534_259.0171_2.42,2.5070647347678894,wild type control_9,0.04437456478771644
687_195.1132_0.86,2.500141608641994,Ctns gene knockout_9,-0.04425202678359286
1602_388.0866_2.45,2.498098425496429,wild type control_9,0.044215862833931446
983_295.1288_1.72,2.497394356210193,wild type control_9,0.04420340094265124
865_289.0543_1.3,2.496714848482788,wild type control_9,0.04419137378624984
2200_258.1705_3.0,2.492423807013964,wild type control_9,0.04411542317555182
718_190.1077_0.92,2.488274620979393,Ctns gene knockout_9,-0.04404198337882299
3255_390.2494_4.16,2.4820513801504474,wild type control_9,0.04393183321017201
1370_362.0855_2.28,2.4815283795002845,wild type control_9,0.043922576199009584
1073_300.2025_1.88,2.4744898985326857,wild type control_9,0.043797996436320395
1262_194.0815_2.14,2.472682182779732,Ctns gene knockout_9,-0.04376600021433028
2024_203.1103_2.86,2.4726091910531984,Ctns gene knockout_9,-0.04376470827477518
2019_220.1371_2.86,2.4695470279658807,Ctns gene knockout_9,-0.043710508575651216
770_250.0385_1.03,2.469190419531156,Ctns gene knockout_9,-0.04370419667477722
1375_184.1448_2.27,2.464776261453487,wild type control_9,0.043626066923724394
959_168.1135_1.5,2.462161686839572,wild type control_9,0.043579789454703144
1258_195.0849_2.14,2.459991061146185,Ctns gene knockout_9,-0.043541369796397035
813_182.0646_1.17,2.458490452258007,Ctns gene knockout_9,-0.04351480930699042
1259_216.0637_2.14,2.452518039016536,Ctns gene knockout_9,-0.043409098738512744
