ID,comp1,GroupContrib,importance
648_197.0789_0.85,1.8291829324149602,wild type control_9,-0.03237618694778045
4002_514.3781_5.14,1.8284100476092164,wild type control_9,-0.03236250703500824
4105_553.7263_5.26,1.8240930090212246,wild type control_9,-0.032286096280288876
2408_444.2996_3.21,1.8234793140510472,wild type control_9,-0.032275233997063245
4236_733.5202_5.4,1.822461200494183,wild type control_9,-0.032257213582446986
382_161.081_0.44,1.8219802158059233,Ctns gene knockout_9,0.03224870024574886
3810_668.9718_4.91,1.8211024841775465,wild type control_9,-0.032233164564332464
2322_542.3375_3.13,1.8208538558706713,Ctns gene knockout_9,0.03222876389100381
2341_557.0132_3.15,1.8193377123519578,Ctns gene knockout_9,0.03220192844161728
2261_512.9866_3.09,1.8181772960249158,Ctns gene knockout_9,0.03218138929527178
365_177.1026_0.43,1.815231218516812,Ctns gene knockout_9,0.032129244288627144
1922_504.339_2.75,1.8131489858876868,wild type control_9,-0.032092389170598944
3939_697.4915_5.06,1.812795777674688,wild type control_9,-0.03208613745299711
3887_602.4307_4.99,1.8121855600013648,wild type control_9,-0.03207533671725864
4167_524.7098_5.33,1.8078378605863645,wild type control_9,-0.03199838327178396
2254_356.2469_3.09,1.802017101222818,wild type control_9,-0.03189535694784849
4308_572.4202_5.51,1.8019295928710095,wild type control_9,-0.031893808066811254
3989_534.3789_5.12,1.8017754777656103,wild type control_9,-0.031891080259014964
3961_675.4782_5.09,1.8007803797628772,wild type control_9,-0.03187346721529095
3811_507.3701_4.92,1.79972114647478,wild type control_9,-0.031854718989321296
4320_529.0474_5.52,1.799316439791543,wild type control_9,-0.031847555758677
2376_586.6985_3.18,1.7980378526377954,Ctns gene knockout_9,0.03182492501137164
4288_689.4939_5.49,1.7973255764418763,wild type control_9,-0.031812317859364656
3015_347.2226_3.81,1.7966862385713631,Ctns gene knockout_9,0.03180100170172306
4252_558.3982_5.44,1.7962010378570499,wild type control_9,-0.03179241374217269
4943_270.2798_6.57,1.7960716375277632,Ctns gene knockout_9,0.031790123381171695
2607_392.2748_3.38,1.7925315479417134,wild type control_9,-0.03172746447471748
2691_480.3287_3.47,1.7924109568229913,wild type control_9,-0.0317253300350533
2344_557.3475_3.15,1.791075795700622,Ctns gene knockout_9,0.03170169793935789
3862_624.4439_4.96,1.7899630151465113,wild type control_9,-0.03168200193705364
2329_229.144_2.98,1.7872040476117472,wild type control_9,-0.03163316874103729
2363_572.0231_3.16,1.786170432932476,Ctns gene knockout_9,0.03161487395952854
2295_527.6621_3.11,1.7843613010097035,Ctns gene knockout_9,0.03158285267160435
4283_543.7228_5.48,1.7840395585190376,wild type control_9,-0.03157715789125065
3642_522.3766_4.67,1.7813018158640088,wild type control_9,-0.031528700371533304
2362_571.6886_3.16,1.7760469612108116,Ctns gene knockout_9,0.03143569045239378
3969_536.3912_5.1,1.774695189418748,wild type control_9,-0.03141176435103178
4046_505.0281_5.18,1.7711126252128717,wild type control_9,-0.031348353651956026
3839_646.4569_4.94,1.7706142729522476,wild type control_9,-0.031339532912559274
4085_705.0009_5.24,1.7691814932339824,wild type control_9,-0.03131417298644609
230_150.0589_0.3,1.768198137371228,Ctns gene knockout_9,0.031296767776346796
3971_320.2581_5.15,1.7671558337453737,Ctns gene knockout_9,0.03127831920215063
2296_527.9965_3.11,1.7643595723209717,Ctns gene knockout_9,0.03122882591144308
4372_645.4675_5.59,1.7627526859153542,wild type control_9,-0.03120038433036872
2884_450.3182_3.71,1.75989327152153,wild type control_9,-0.03114977324421923
2238_650.4338_3.05,1.755982173498011,wild type control_9,-0.031080547559605296
2082_445.2892_2.92,1.7541104577841056,Ctns gene knockout_9,0.031047418550585685
3621_566.4019_4.65,1.7536612525532427,wild type control_9,-0.03103946770418612
4226_638.9613_5.37,1.7515530098898342,wild type control_9,-0.031002152213541516
2225_483.6358_3.05,1.7485263873503218,Ctns gene knockout_9,0.030948581575294717
3607_588.4144_4.63,1.7479507178296294,wild type control_9,-0.030938392335229225
4219_521.3857_5.38,1.747500525367744,wild type control_9,-0.030930424015029975
3896_500.3563_5.01,1.7359547696953848,wild type control_9,-0.030726066354854246
4207_509.7_5.37,1.735861894342953,wild type control_9,-0.030724422478935722
2375_586.364_3.18,1.7355101829163597,Ctns gene knockout_9,0.030718197254166094
3705_617.9378_4.79,1.7286192098086366,wild type control_9,-0.030596228352295123
2248_498.3113_3.07,1.7277191120068123,Ctns gene knockout_9,0.03058029679389999
4300_303.2327_5.48,1.7245877871974262,Ctns gene knockout_9,0.030524872945565114
4241_573.0737_5.4,1.7239510376844422,wild type control_9,-0.030513602601355168
2579_473.321_3.35,1.7117021581789627,wild type control_9,-0.03029679978423798
3917_719.5044_5.03,1.7088211117514651,wild type control_9,-0.0302458058152429
1912_400.2552_2.77,1.7083203434183194,wild type control_9,-0.03023694231182608
695_242.0117_0.89,1.7046840240162224,wild type control_9,-0.03017258015609095
4285_689.9957_5.49,1.6951991555583057,wild type control_9,-0.03000469980419897
3956_280.2642_5.08,1.6938358782078713,Ctns gene knockout_9,0.02998057005666133
1672_151.0757_2.39,1.6933033279143523,wild type control_9,-0.029971144018643744
2600_495.3338_3.37,1.6916912784653204,wild type control_9,-0.029942611052691553
4342_514.3719_5.56,1.688703880339075,wild type control_9,-0.029889734679033792
3793_690.4834_4.89,1.6881059459553474,wild type control_9,-0.029879151355164425
165_154.0979_0.24,1.6731519471843241,Ctns gene knockout_9,0.029614468446064496
4012_519.7035_5.15,1.671587666915509,wild type control_9,-0.029586780985436916
149_132.077_0.23,1.6710788691511387,Ctns gene knockout_9,0.029577775362627984
3579_610.4283_4.61,1.670663162311991,wild type control_9,-0.029570417431334612
2203_468.9604_3.03,1.6681461452727042,Ctns gene knockout_9,0.02952586671266641
2095_606.3713_2.93,1.6560387202879105,Ctns gene knockout_9,0.029311567613425207
3532_376.2602_4.53,1.6547697904966219,Ctns gene knockout_9,0.029289107799582458
1680_241.1053_2.66,1.6519691641712246,wild type control_9,-0.029239537250964762
3853_502.2942_4.96,1.6511856645543677,Ctns gene knockout_9,0.02922566945807245
2413_615.7149_3.21,1.6504753259616751,Ctns gene knockout_9,0.029213096601270822
462_166.0867_0.51,1.6462148717194,Ctns gene knockout_9,0.029137687378614097
3722_617.4357_4.78,1.6415504091927786,wild type control_9,-0.029055127286839445
3994_653.9666_5.13,1.6414179217694147,wild type control_9,-0.029052782284865585
3717_456.336_4.77,1.6390245840990378,wild type control_9,-0.029010420667297362
992_151.0757_1.79,1.6383745090675363,wild type control_9,-0.028998914463966352
2398_601.0395_3.2,1.6375837349553297,Ctns gene knockout_9,0.028984917913902074
2412_616.0493_3.21,1.6373447903097418,Ctns gene knockout_9,0.028980688639520254
464_120.081_0.51,1.6298531274737287,Ctns gene knockout_9,0.028848087644709818
4051_492.3649_5.19,1.6294894475019928,wild type control_9,-0.028841650578987504
1033_141.0913_1.8,1.6292909373065416,wild type control_9,-0.028838136986615154
4240_495.0246_5.4,1.6277191941785096,wild type control_9,-0.028810317434811293
3914_485.6808_5.04,1.6271099869899932,wild type control_9,-0.02879953458446002
482_167.09_0.51,1.6247045931742872,Ctns gene knockout_9,0.028756959575432617
4489_372.2908_5.79,1.623547967271641,Ctns gene knockout_9,0.028736487518871673
2199_694.424_3.03,1.622841601818716,Ctns gene knockout_9,0.028723984985881624
1518_170.118_2.41,1.6199027003057798,Ctns gene knockout_9,0.028671966992974637
2197_672.4105_3.01,1.6177772132416006,Ctns gene knockout_9,0.028634346279744986
787_205.0976_1.07,1.617768592394685,Ctns gene knockout_9,0.02863419369240862
2062_584.3581_2.91,1.6162116249529053,Ctns gene knockout_9,0.028606635667416492
3657_500.362_4.71,1.6138970703639344,wild type control_9,-0.028565668495273446
2687_384.2753_3.46,1.6127828952753167,Ctns gene knockout_9,0.028545947809975984
744_188.071_1.07,1.6104106470229307,Ctns gene knockout_9,0.028503959471059877
2551_581.7042_3.34,1.6075824435927744,Ctns gene knockout_9,0.02845390081297902
4074_568.4019_5.23,1.6055756493276858,wild type control_9,-0.028418380939520295
1972_356.2653_2.83,1.6042365679508352,wild type control_9,-0.028394679456072727
2395_601.3741_3.21,1.6023061558582254,Ctns gene knockout_9,0.02836051153241182
3531_393.2874_4.54,1.600022601782095,Ctns gene knockout_9,0.028320093063398142
3959_675.98_5.09,1.59949360987663,wild type control_9,-0.028310730008166377
1725_243.1234_2.56,1.594746739349096,wild type control_9,-0.028226711310586773
694_191.0294_0.89,1.5918021485283593,wild type control_9,-0.028174592618023298
3815_544.3822_4.93,1.588977772014159,wild type control_9,-0.028124601695620616
790_275.1163_1.01,1.5870803782550844,Ctns gene knockout_9,0.028091018190128218
2219_716.4373_3.05,1.5853047000004368,Ctns gene knockout_9,0.028059589025711255
3983_534.7134_5.12,1.5814490504078975,wild type control_9,-0.027991344767687058
945_182.0791_1.4,1.580627235651671,Ctns gene knockout_9,0.027976798804179238
3953_380.2782_5.08,1.5776244515551934,Ctns gene knockout_9,0.027923650101800396
2135_628.3843_2.96,1.5768813723649902,Ctns gene knockout_9,0.027910497742704595
2552_451.3076_3.33,1.576028893699261,wild type control_9,-0.027895409033881907
4042_505.3625_5.18,1.5757281911325864,wild type control_9,-0.02789008665614603
3629_544.388_4.67,1.5748584500507496,wild type control_9,-0.027874692405870285
4066_726.5124_5.21,1.573467923282923,wild type control_9,-0.027850080348873006
4808_441.1998_6.41,1.5706248906564486,Ctns gene knockout_9,0.027799759216862525
2640_517.3468_3.39,1.569976986897262,wild type control_9,-0.027788291444634898
3866_515.0316_4.98,1.567720039884366,wild type control_9,-0.027748343915535507
1694_770.346_2.52,1.565119121135493,Ctns gene knockout_9,0.02770230815270542
995_123.0807_1.78,1.5644786846123342,wild type control_9,-0.027690972549122787
4263_711.5071_5.44,1.5640106291505533,wild type control_9,-0.027682688057252672
533_209.1025_0.6,1.5616177623799194,Ctns gene knockout_9,0.027640334774519548
4272_712.0089_5.45,1.5615361120013291,wild type control_9,-0.02763888957848434
1061_276.1346_1.87,1.5602977828951856,Ctns gene knockout_9,0.027616971390897468
1898_363.2175_2.73,1.560260104702718,Ctns gene knockout_9,0.02761630449411991
3863_529.707_4.96,1.5596907948495429,wild type control_9,-0.027606227818949277
3697_661.4616_4.75,1.5594620080386525,wild type control_9,-0.027602178336292672
2120_467.3024_2.95,1.554981844442401,Ctns gene knockout_9,0.027522880300225074
3649_439.3583_4.69,1.553916049110535,Ctns gene knockout_9,0.02750401592733974
271_215.1397_0.34,1.551532572676636,Ctns gene knockout_9,0.027461828851765145
1731_260.15_2.56,1.5498624977022302,Ctns gene knockout_9,0.027432268845146896
4017_520.038_5.15,1.547349025247542,wild type control_9,-0.027387780864946008
4358_550.4068_5.57,1.5469261550819329,wild type control_9,-0.02738029614414866
56_169.0951_0.2,1.544579507955889,Ctns gene knockout_9,0.027338760940256855
2214_694.9257_3.03,1.5444215664276928,Ctns gene knockout_9,0.027335965405511215
