rowname,sum_importance,featID
1000_206.0452_1.67,0.010338120221074758,1000
1001_152.0709_1.7,0.0395795310420293,1001
1002_207.1022_1.69,0.030973701010074416,1002
1004_216.1236_1.81,0.03641006135517944,1004
1007_236.0894_1.64,0.018164959483654104,1007
1008_326.0876_1.78,0.017000091704629634,1008
100_156.0771_0.22,0.03360179870296182,100
1011_198.1128_1.84,0.01858014407198528,1011
1012_245.1866_1.8,0.015595805571596937,1012
1015_336.229_1.75,0.023258433685717114,1015
1016_211.1083_1.7,0.012497163038884915,1016
1017_210.1131_1.78,0.047783251455517706,1017
1018_309.193_1.79,0.019639669891977952,1018
1019_131.107_1.77,0.03888745422366512,1019
1020_493.2824_1.76,0.041927324675090874,1020
1021_282.0836_1.64,0.02539303078518659,1021
1022_181.0692_1.78,0.004461056618635624,1022
1023_166.1442_1.77,0.030811307979723722,1023
1025_247.1082_1.72,0.023692583877199584,1025
1027_202.0477_1.78,0.015015957912449869,1027
1028_105.0337_1.78,0.024535282214020782,1028
1029_180.0659_1.78,0.05041773871922479,1029
1031_190.1443_1.8,0.024971004180216444,1031
1033_141.0913_1.8,0.040830189770511574,1033
1035_246.1707_1.8,0.03750531849352503,1035
1037_229.1052_1.78,0.035984077016539356,1037
1038_278.1141_1.79,0.011506018714574792,1038
1039_201.1601_1.69,0.00938012750841772,1039
1040_192.0659_1.82,0.019684191197851177,1040
1042_330.251_1.81,0.03324529648115697,1042
1043_118.0653_1.79,0.033481302797380194,1043
1044_190.0502_1.75,0.01744383541193515,1044
1045_123.0807_1.87,0.049395452956445915,1045
1046_366.1554_1.76,0.019617572997628407,1046
1047_187.0969_1.83,0.03756111425135628,1047
1048_227.0896_1.83,0.047127082840844936,1048
1049_205.1075_1.83,0.03999898563099773,1049
104_104.1072_0.22,0.05122766510858631,104
1050_208.0609_1.94,0.017067763441345547,1050
1051_193.1705_1.84,0.01701528340912889,1051
1052_265.0691_1.83,0.02345146558594154,1052
1053_254.148_1.83,0.039916072765954144,1053
1055_251.0898_1.88,0.017842971525885796,1055
1056_149.1176_1.79,0.04134359683413255,1056
1057_321.0637_1.83,0.025196426149503317,1057
1058_136.076_1.85,0.01861056990219131,1058
1060_202.1443_1.94,0.02762852549611991,1060
1061_276.1346_1.87,0.05197266833380595,1061
1063_324.2179_1.94,0.03354431875324647,1063
1064_264.0542_2.0,0.014490100557152427,1064
1065_283.1758_1.87,0.025215883412822937,1065
1066_167.0707_1.89,0.04511343236541071,1066
1067_134.0603_1.69,0.05871861250075435,1067
1068_589.008_1.87,0.031155086816776055,1068
1069_343.2714_1.79,0.04442213861185962,1069
1070_390.6992_1.86,0.036231651530282495,1070
1071_780.3907_1.86,0.009611000589788386,1071
1072_261.1815_1.83,0.022833551974672052,1072
1073_300.2025_1.88,0.02688350582215085,1073
1074_588.6737_1.87,0.025788725769217993,1074
1076_265.1553_1.93,0.02845898557765954,1076
1077_327.1407_1.9,0.022757637675804694,1077
1078_186.0918_1.88,0.04135929464025724,1078
1079_322.0855_1.91,0.019071495101723672,1079
1080_259.1658_1.87,0.02239656355801389,1080
1082_250.1112_1.87,0.03009589129692945,1082
1083_216.1236_1.91,0.03991256690577728,1083
1084_172.0972_2.06,0.018812653040276114,1084
1085_250.1094_1.88,0.014456025308825626,1085
1086_175.0791_1.91,0.01955199695086516,1086
1087_272.0933_1.88,0.018941350715413467,1087
1089_271.166_1.98,0.030975144006506812,1089
1090_336.1296_1.89,0.010846006729134026,1090
1091_229.1806_1.84,0.030881159172375005,1091
1094_277.0277_1.92,0.05188181757064234,1094
1095_262.1114_1.94,0.019509569407229053,1095
1097_192.1056_1.91,0.03444865245465484,1097
1098_381.7223_1.87,0.018496164216722996,1098
1099_263.1396_1.99,0.03499239947468495,1099
109_140.0684_0.22,0.031417012240391805,109
1100_317.0937_1.91,0.026691836159205732,1100
1102_295.1118_1.92,0.028046488585586525,1102
1104_314.1816_1.92,0.042387197436135546,1104
1105_360.1297_1.92,0.012590400441132552,1105
1110_319.1524_1.96,0.03375800272103001,1110
1113_238.1055_1.92,0.03170159677570732,1113
1114_253.1652_1.95,0.0682315799074914,1114
1115_339.2038_1.95,0.019338171065526252,1115
1116_270.1918_1.95,0.06202215520402235,1116
1119_238.1115_1.96,0.03729958822247806,1119
111_260.0748_0.22,0.027706658154287786,111
1120_211.1446_2.03,0.042610233250183115,1120
1121_190.0502_1.87,0.007918808581509703,1121
1122_162.0553_1.92,0.015644957143501163,1122
1123_167.0707_1.94,0.03994657575836731,1123
1124_346.1504_1.94,0.03285997277417402,1124
1125_237.0735_1.94,0.020607940390397643,1125
1126_422.7192_1.98,0.03554587224087251,1126
1127_230.0431_1.94,0.01867935523654783,1127
1129_387.1634_2.09,0.007700669600751081,1129
1130_265.1191_1.96,0.037546731309962694,1130
1131_209.0644_1.95,0.008009084373974344,1131
1132_295.166_1.96,0.02130086445647989,1132
1133_431.2144_1.98,0.03826418029690797,1133
1134_392.1923_2.0,0.023157887678801052,1134
1136_350.0854_1.97,0.02040107102582288,1136
1137_256.0273_1.99,0.0777042819918638,1137
1138_245.1615_1.97,0.026913335752141478,1138
1139_139.0756_1.97,0.0732311758052035,1139
1140_296.1162_1.92,0.03250442005838425,1140
1141_220.1186_1.97,0.0754795422108559,1141
1142_203.0918_1.97,0.07390517799385427,1142
1143_148.0395_2.01,0.011216471424728041,1143
1144_205.0452_1.99,0.07703194281882378,1144
1146_245.1866_2.04,0.017632768533444594,1146
1147_324.2179_1.98,0.04376825404837287,1147
114_156.0424_0.22,0.055026340809904074,114
1151_369.1164_2.0,0.023605946490087647,1151
1153_415.7306_1.99,0.0342894746609561,1153
1154_180.1024_1.95,0.0352269722679361,1154
1155_202.0843_1.98,0.03588559708885186,1155
1156_254.1028_1.99,0.0541104479600792,1156
1157_185.0812_2.0,0.07172716342780143,1157
1159_347.1345_2.01,0.04684485457874699,1159
115_238.0935_0.29,0.04823424281916265,115
1160_358.148_2.0,0.015105593570995416,1160
1163_310.148_2.0,0.009448468031257226,1163
1164_413.1424_2.0,0.009876310028797946,1164
1165_195.1132_2.03,0.028354316721895964,1165
1166_348.1297_2.05,0.04172787805522075,1166
1167_316.1761_2.0,0.017066172440313932,1167
1168_241.0504_2.0,0.019867377633745013,1168
1169_240.1228_2.01,0.03259564130020685,1169
116_220.0822_0.24,0.018892825279837863,116
1170_273.1239_2.0,0.02585774361141792,1170
1172_223.1546_2.01,0.05620897191362515,1172
1173_186.1128_2.01,0.02811495607163618,1173
1174_407.24_2.01,0.023496255979680976,1174
1175_203.1182_2.05,0.02072495783827548,1175
1176_195.0881_2.03,0.03573919964437849,1176
1177_410.1059_2.02,0.019310556015703834,1177
1178_463.1587_2.02,0.04843357969696829,1178
1179_457.1116_2.05,0.029269716664835074,1179
117_151.1444_0.22,0.018332644488507282,117
1180_214.1078_2.03,0.026496062758410356,1180
1181_200.1284_2.14,0.026263503411158035,1181
1182_267.1443_1.99,0.056495501302014375,1182
1183_263.1396_2.16,0.036557026339166174,1183
1184_245.1866_2.13,0.021208694232953545,1184
1185_307.1773_2.03,0.026454563212523,1185
1186_225.0739_1.98,0.066734590292864,1186
1187_497.3135_2.04,0.02804378668548612,1187
1188_199.0981_2.04,0.02943266768825885,1188
1189_346.2231_2.05,0.02221619105423508,1189
1190_269.0096_2.05,0.014189473891745935,1190
1191_605.8627_2.06,0.014613160773090383,1191
1192_269.0994_2.05,0.04424664213162843,1192
1194_327.1413_1.98,0.021214282154175198,1194
1195_232.1185_2.02,0.01544139728116007,1195
1196_349.0905_2.05,0.025457577279564606,1196
1197_198.1128_1.94,0.028046963903471625,1197
1199_264.0542_2.05,0.013870767722396414,1199
119_203.053_0.22,0.06579224328469296,119
1200_271.166_2.04,0.023406494400984898,1200
1201_134.0272_2.05,0.030953298824542168,1201
1202_246.0234_2.05,0.013472706013289752,1202
1204_224.0415_2.05,0.01845594986187691,1204
1205_176.0379_2.05,0.022150762710570444,1205
1206_219.1135_2.04,0.03699647539870296,1206
1207_479.2614_2.08,0.024556420648612666,1207
1208_435.1294_2.04,0.03511146423092057,1208
1212_308.1976_2.05,0.03283403780152361,1212
1213_256.1914_2.06,0.02660387077808573,1213
1214_336.2289_2.0,0.008286084570371713,1214
1216_351.1057_2.02,0.041802678331211984,1216
1217_234.1494_2.08,0.0271906760476021,1217
1218_310.1655_2.07,0.027369824787419547,1218
1219_569.2931_2.02,0.03581548297474417,1219
121_136.0485_0.22,0.020321768004649292,121
1220_215.1261_2.09,0.01832164552250013,1220
1223_302.2084_2.09,0.010933830020210714,1223
1224_218.1393_2.12,0.030482893449416786,1224
1227_181.0975_2.09,0.02904273682678611,1227
1228_496.2038_2.08,0.027990879196863078,1228
1229_501.1591_2.08,0.03559999388843001,1229
1232_193.1438_2.09,0.028416355339402257,1232
1234_158.118_2.09,0.050253877498584926,1234
1235_284.1711_2.01,0.02452672750205557,1235
1236_356.1048_2.07,0.026803754089916358,1236
1237_317.2079_2.1,0.06821297492218732,1237
1238_263.1032_2.09,0.027510219257964395,1238
