ID,comp1,GroupContrib,importance,featID
4545_379.2468_5.89,1.1577951107276565,wild type control_male_12,-0.02049275131965921,4545
936_279.1017_1.51,1.1575929530442366,wild type control_male_12,-0.020489173167449633,936
3774_316.3219_4.86,1.1572699066478787,wild type control_male_12,-0.02048345530821536,3774
242_274.1039_0.3,1.1571328849822833,wild type control_male_12,-0.020481030051023967,242
4000_376.3068_5.14,1.1566263293041839,Ctns gene knockout_male_12,0.020472064112711852,4000
2403_317.1868_3.2,1.1557387877005665,Ctns gene knockout_female_12,0.020456354796615887,2403
2399_351.0179_3.22,1.155292543670395,wild type control_male_12,-0.020448456362900408,2399
757_289.1531_1.01,1.155137715625287,wild type control_male_12,-0.020445715936208062,757
3789_219.1961_4.88,1.1544388742367393,wild type control_female_12,0.020433346577713885,3789
1515_335.1499_2.38,1.1529676678789926,wild type control_male_12,-0.020407306507454603,1515
3134_926.721_4.13,1.1526639917732378,wild type control_male_12,-0.02040193149864752,3134
424_186.0765_0.44,1.1526325067613143,wild type control_male_12,-0.020401374219977345,424
1577_197.1288_2.44,1.1518061097453924,wild type control_male_12,-0.02038674715135209,1577
3112_251.1283_3.96,1.1504876727626632,Ctns gene knockout_male_12,-0.020363411069719537,3112
3337_452.3126_4.25,1.1502211831872324,wild type control_male_12,-0.020358694255364403,3337
813_182.0646_1.17,1.1499876106523954,wild type control_male_12,-0.020354560066312154,813
3701_195.102_4.75,1.1498366115280612,wild type control_female_12,0.020351887410782865,3701
673_152.1285_0.81,1.1496127297383076,wild type control_female_12,0.020347924746059284,673
3785_481.0089_4.87,1.14937116133215,Ctns gene knockout_male_12,0.020343649031618786,3785
758_187.1809_0.99,1.1489784030335175,wild type control_female_12,0.020336697285089515,758
4358_550.4068_5.57,1.1489176422249479,Ctns gene knockout_female_12,0.020335621830435698,4358
1420_187.0969_2.33,1.1483308805346208,wild type control_female_12,-0.02032523626109587,1420
347_241.1552_0.39,1.147685084293946,wild type control_male_12,-0.02031380579154154,347
1017_210.1131_1.78,1.1472814330023866,wild type control_male_12,-0.020306661241127448,1017
1468_266.1028_2.38,1.1467209207035602,wild type control_male_12,-0.020296740280980847,1468
1756_294.1921_2.59,1.1465132876316944,wild type control_male_12,-0.020293065215446316,1756
1140_296.1162_1.92,1.146165110462075,wild type control_male_12,-0.020286902546347022,1140
4515_510.3932_5.84,1.145977419544155,wild type control_male_12,-0.020283580453111134,4515
2268_576.3517_3.09,1.1451085609726437,wild type control_male_12,-0.020268201823098832,2268
3702_167.0707_4.75,1.145069942201062,wild type control_female_12,0.02026751827825142,3702
3527_343.2852_4.52,1.1436390504816631,Ctns gene knockout_male_12,0.02024219176935593,3527
1277_316.2605_2.17,1.1435778050606797,wild type control_female_12,0.02024110773715537,1277
2978_311.1839_3.84,1.1431281089502698,wild type control_male_12,-0.020233148202282003,2978
3949_369.2644_5.11,1.1421145209140071,wild type control_male_12,-0.0202152078885121,3949
190_129.0525_0.3,1.1401659777649162,wild type control_male_12,-0.02018071904863019,190
2548_195.186_3.33,1.1391927213377513,Ctns gene knockout_female_12,0.0201634925966031,2548
5156_369.301_7.14,1.138429142278123,wild type control_male_12,-0.020149977393751684,5156
4864_324.2624_6.52,1.1380157456600193,wild type control_male_12,-0.02014266035292754,4864
