ID,comp1,GroupContrib,importance
4094_316.2855_5.23,2.931536676109867,Ctns gene knockout_2,-0.05188763670821124
999_197.1288_1.71,2.7948524762372164,Ctns gene knockout_2,-0.04946835259536297
4280_330.3012_5.53,2.6772498317067948,Ctns gene knockout_2,-0.04738680835099182
1350_211.1446_2.34,2.6545707932823643,Ctns gene knockout_2,-0.04698539372219039
4668_356.2806_6.16,2.616245854301128,wild type control_2,0.04630704965543234
1589_211.1445_2.45,2.5690468803383943,Ctns gene knockout_2,-0.045471636872117444
1502_186.1128_2.39,2.543262986531989,Ctns gene knockout_2,-0.04501526689876777
302_159.1497_0.34,2.5253988381091745,Ctns gene knockout_2,-0.04469907489918665
3553_413.2673_4.57,2.5126692264749524,Ctns gene knockout_2,-0.04447376321562633
1537_235.17_2.41,2.511132955504495,wild type control_2,0.044446571514205675
1531_253.1805_2.41,2.4987828534259298,wild type control_2,0.044227977076965935
4939_345.2414_6.5,2.487672030229216,wild type control_2,0.04403131763816086
3285_304.1762_4.2,2.475729595998366,Ctns gene knockout_2,-0.043819938843608526
235_315.1058_0.3,2.4689238445369774,wild type control_2,0.043699478348526645
3552_391.2852_4.56,2.4454810209774056,Ctns gene knockout_2,-0.04328454486937675
4559_388.3432_5.92,2.441915231568233,Ctns gene knockout_2,-0.04322143108098416
3562_392.2887_4.57,2.4398403726900746,Ctns gene knockout_2,-0.0431847064769333
117_151.1444_0.22,2.4174297515267216,Ctns gene knockout_2,-0.042788042782153105
427_173.1289_0.47,2.4159638323832566,Ctns gene knockout_2,-0.04276209629457218
3555_408.3119_4.57,2.409824521281217,Ctns gene knockout_2,-0.04265343166598426
104_104.1072_0.22,2.3940985456814934,Ctns gene knockout_2,-0.04237508491513158
3622_389.2695_4.66,2.362166339125374,Ctns gene knockout_2,-0.04180989098575726
4040_325.2747_5.04,2.3596625819007806,wild type control_2,0.04176557496326503
3273_348.2026_4.18,2.3584720029551547,Ctns gene knockout_2,-0.04174450194435774
525_100.0759_0.57,2.3569765359001855,Ctns gene knockout_2,-0.04171803246441239
4684_355.2849_6.16,2.356810514259095,wild type control_2,0.04171509391321882
3371_391.2853_4.34,2.356097475758227,Ctns gene knockout_2,-0.0417024732685605
3977_454.2939_5.11,2.355944653566921,Ctns gene knockout_2,-0.041699768345095596
2100_171.102_2.85,2.3525811348465857,wild type control_2,0.04164023470908678
3554_373.2748_4.57,2.35061103550378,Ctns gene knockout_2,-0.04160536432871199
4214_310.2748_5.37,2.3497554857312446,Ctns gene knockout_2,-0.04159022126188807
4802_509.2885_6.4,2.3460674986855325,Ctns gene knockout_2,-0.041524944598774156
3626_406.2964_4.66,2.345744518352226,Ctns gene knockout_2,-0.04151922790884321
1648_442.2712_2.49,2.3348819792833946,Ctns gene knockout_2,-0.04132696305146465
4770_347.2567_6.32,2.3316776271650514,wild type control_2,0.04127024663377262
3132_426.3224_4.08,2.329575034842272,Ctns gene knockout_2,-0.041233031153073044
4114_438.299_5.26,2.3224131842174627,Ctns gene knockout_2,-0.04110626777112154
1649_464.2532_2.49,2.3195232177644334,Ctns gene knockout_2,-0.04105511591938598
644_220.1186_0.61,2.318391428658714,Ctns gene knockout_2,-0.04103508346936533
224_145.1339_0.27,2.3159649952286143,Ctns gene knockout_2,-0.04099213606319992
3089_332.2234_3.9,2.303708358597279,Ctns gene knockout_2,-0.0407751959464434
4775_307.264_6.33,2.2863356675141744,wild type control_2,0.04046770264748175
4474_363.2516_5.77,2.28512292312417,wild type control_2,0.04044623730446173
3008_315.1964_3.82,2.285019731557109,Ctns gene knockout_2,-0.040444410833523584
3245_424.3069_4.15,2.282928884438024,Ctns gene knockout_2,-0.040407403240675925
4472_358.2962_5.77,2.2811108485377236,wild type control_2,0.04037522435405784
3738_440.2783_4.79,2.2806874531458035,Ctns gene knockout_2,-0.04036773033685556
2919_373.275_3.82,2.264098225579366,Ctns gene knockout_2,-0.040074104191819775
4724_343.2255_6.24,2.2518449342738807,wild type control_2,0.03985722328668896
4497_364.2549_5.78,2.2470858625251564,wild type control_2,0.03977298862983527
3549_803.5452_4.57,2.2456993586660157,Ctns gene knockout_2,-0.03974844777754988
4415_358.2962_5.73,2.2426069773565147,wild type control_2,0.039693713221691074
4619_363.2516_5.84,2.2327002748139275,wild type control_2,0.039518366487435584
3097_373.275_3.85,2.2323532639528363,Ctns gene knockout_2,-0.039512224461773465
1538_223.1699_2.41,2.2294351089194997,wild type control_2,0.03946057367757488
4847_340.2856_6.48,2.224141894079186,wild type control_2,0.03936688479048336
4208_350.2676_5.37,2.224078090337861,Ctns gene knockout_2,-0.0393657554765036
4597_361.236_5.99,2.2237474471981713,wild type control_2,0.0393599031563699
4705_339.254_6.14,2.2224470549315156,wild type control_2,0.0393368864627497
4864_324.2624_6.52,2.211707639132424,wild type control_2,0.0391468008636225
4649_321.243_6.12,2.210304190788441,wild type control_2,0.03912196009720645
4788_361.236_6.25,2.2029053752139647,wild type control_2,0.038991002481111085
4065_522.3567_5.24,2.2009138880847265,wild type control_2,0.03895575354102001
4146_382.2938_5.31,2.197354331769854,Ctns gene knockout_2,-0.03889275007720062
4870_323.259_6.52,2.1959934593986303,wild type control_2,0.03886866289733357
3547_798.59_4.57,2.1888273660586766,Ctns gene knockout_2,-0.03874182442013802
1029_180.0659_1.78,2.1829219360791647,Ctns gene knockout_2,-0.038637299442545285
3669_353.2696_4.87,2.1793753666450746,wild type control_2,0.03857452584402401
4250_363.2517_5.47,2.1751943039793105,wild type control_2,0.038500521837039066
295_132.1022_0.34,2.1662930527019415,Ctns gene knockout_2,-0.03834297139726715
371_144.0658_0.42,2.1652795300264267,Ctns gene knockout_2,-0.03832503224036995
4552_323.259_5.77,2.1617081251128565,wild type control_2,0.038261819058626925
4198_417.2797_5.34,2.1599054102762913,wild type control_2,0.03822991135189739
4621_305.2484_6.03,2.1518726985110974,wild type control_2,0.03808773389484874
3003_431.2779_3.93,2.1437291702389536,Ctns gene knockout_2,-0.037943595006888875
4572_423.3633_5.93,2.142504178308063,wild type control_2,0.03792191288474504
4662_263.2377_6.16,2.1369027210150686,wild type control_2,0.03782276816538197
768_239.1495_1.03,2.1273737722087147,Ctns gene knockout_2,-0.03765410759978013
1979_206.0816_2.83,2.122259852077952,Ctns gene knockout_2,-0.0375635921946473
193_124.0396_0.3,2.1211914526076936,Ctns gene knockout_2,-0.03754468172901207
4121_482.3617_5.27,2.109763220013849,Ctns gene knockout_2,-0.037342404204777496
4091_338.2678_5.23,2.102124334523316,Ctns gene knockout_2,-0.037207197397228914
4449_228.2328_5.76,2.099967912899254,Ctns gene knockout_2,-0.03716902914822459
634_261.0741_0.76,2.09903725074589,wild type control_2,0.03715255660667143
4789_321.2433_6.23,2.092482642335842,wild type control_2,0.037036541295412735
149_132.077_0.23,2.089504199307204,Ctns gene knockout_2,-0.03698382342526446
126_148.1336_0.23,2.0849181119302296,Ctns gene knockout_2,-0.03690265055860112
600_124.0759_0.7,2.083747205928756,Ctns gene knockout_2,-0.03688192574703078
3791_408.3119_4.88,2.083213420218761,Ctns gene knockout_2,-0.03687247784237859
4846_305.2484_6.49,2.0822095995348944,wild type control_2,0.036854710408872095
3769_483.3457_4.82,2.0819239220538126,wild type control_2,0.03684965397226842
334_218.1393_0.37,2.081641899923052,Ctns gene knockout_2,-0.036844662234664094
4593_293.2118_6.0,2.080369580218319,wild type control_2,0.03682214242000379
4521_358.2962_5.84,2.078514211267408,wild type control_2,0.03678930274555282
4471_201.1489_5.8,2.0741075748408324,wild type control_2,0.0367113061262812
4647_361.236_6.05,2.071382722133884,wild type control_2,0.036663076756171746
5011_307.264_6.78,2.068995792536845,wild type control_2,0.03662082856027212
2962_355.265_3.82,2.068185322346975,Ctns gene knockout_2,-0.03660648339341219
4455_359.2996_5.77,2.067997385411933,wild type control_2,0.03660315694572044
1981_131.0494_2.83,2.0556839092051282,Ctns gene knockout_2,-0.03638521077938363
165_154.0979_0.24,2.0502370211146004,Ctns gene knockout_2,-0.036288801905247824
