rowname,sum_importance,featID
1000_206.0452_1.67,0.10753876225889501,1000
1001_152.0709_1.7,0.12985651412084082,1001
1002_207.1022_1.69,0.1884854588346024,1002
1004_216.1236_1.81,0.17530249549448046,1004
1007_236.0894_1.64,0.14842994132499834,1007
1008_326.0876_1.78,0.12707978196274233,1008
100_156.0771_0.22,0.138125921857577,100
1011_198.1128_1.84,0.12637010179576288,1011
1012_245.1866_1.8,0.17288085595242317,1012
1015_336.229_1.75,0.1587783151208607,1015
1016_211.1083_1.7,0.1682645954802629,1016
1017_210.1131_1.78,0.12544415563122638,1017
1018_309.193_1.79,0.1618056055607784,1018
1019_131.107_1.77,0.1604301059812681,1019
1020_493.2824_1.76,0.13318245727808856,1020
1021_282.0836_1.64,0.11942640944858365,1021
1022_181.0692_1.78,0.15793427225737453,1022
1023_166.1442_1.77,0.1296553449617518,1023
1025_247.1082_1.72,0.19796548720177273,1025
1027_202.0477_1.78,0.1260240800527408,1027
1028_105.0337_1.78,0.13539705301794538,1028
1029_180.0659_1.78,0.14995555771666866,1029
1031_190.1443_1.8,0.16795198522728613,1031
1033_141.0913_1.8,0.1357494686723083,1033
1035_246.1707_1.8,0.14777281954341157,1035
1037_229.1052_1.78,0.12953205671743767,1037
1038_278.1141_1.79,0.13439417410485643,1038
1039_201.1601_1.69,0.1386193145214329,1039
1040_192.0659_1.82,0.13787243833615226,1040
1042_330.251_1.81,0.15880099882723808,1042
1043_118.0653_1.79,0.14739552142763016,1043
1044_190.0502_1.75,0.17082058582263868,1044
1045_123.0807_1.87,0.12405917015582948,1045
1046_366.1554_1.76,0.12624319020520194,1046
1047_187.0969_1.83,0.1391046353404703,1047
1048_227.0896_1.83,0.1379053778952469,1048
1049_205.1075_1.83,0.16100166491485587,1049
104_104.1072_0.22,0.14447257577973957,104
1050_208.0609_1.94,0.18798138361440578,1050
1051_193.1705_1.84,0.1794015845018906,1051
1052_265.0691_1.83,0.1644434952193181,1052
1053_254.148_1.83,0.13259681827391262,1053
1055_251.0898_1.88,0.1641340461413461,1055
1056_149.1176_1.79,0.18149049322906433,1056
1057_321.0637_1.83,0.18045773006491067,1057
1058_136.076_1.85,0.21909822044369356,1058
1060_202.1443_1.94,0.16732586498688318,1060
1061_276.1346_1.87,0.11983510322140778,1061
1063_324.2179_1.94,0.1719222939699139,1063
1064_264.0542_2.0,0.15291043330274579,1064
1065_283.1758_1.87,0.08792929063817205,1065
1066_167.0707_1.89,0.1762733893392977,1066
1067_134.0603_1.69,0.11760441103954769,1067
1068_589.008_1.87,0.15080595653349071,1068
1069_343.2714_1.79,0.133186035614796,1069
1070_390.6992_1.86,0.15431039157097623,1070
1071_780.3907_1.86,0.14153126948036704,1071
1072_261.1815_1.83,0.13552944241006318,1072
1073_300.2025_1.88,0.15469534140502605,1073
1074_588.6737_1.87,0.1678795053304216,1074
1076_265.1553_1.93,0.18391466515752436,1076
1077_327.1407_1.9,0.14280548768444365,1077
1078_186.0918_1.88,0.16240066184646318,1078
1079_322.0855_1.91,0.15591255715431115,1079
1080_259.1658_1.87,0.1474607096258771,1080
1082_250.1112_1.87,0.12220172756043382,1082
1083_216.1236_1.91,0.12071059169670821,1083
1084_172.0972_2.06,0.1520889962037905,1084
1085_250.1094_1.88,0.15163562613562984,1085
1086_175.0791_1.91,0.18674671437589324,1086
1087_272.0933_1.88,0.12156272880572876,1087
1089_271.166_1.98,0.19308226092863268,1089
1090_336.1296_1.89,0.1604121995411067,1090
1091_229.1806_1.84,0.18176255843012123,1091
1094_277.0277_1.92,0.11405872460659465,1094
1095_262.1114_1.94,0.17167114786930365,1095
1097_192.1056_1.91,0.12209369393052347,1097
1098_381.7223_1.87,0.17093042554877472,1098
1099_263.1396_1.99,0.1226636593700391,1099
109_140.0684_0.22,0.1583725073813485,109
1100_317.0937_1.91,0.1664664237397901,1100
1102_295.1118_1.92,0.13159016747294705,1102
1104_314.1816_1.92,0.13924269814458806,1104
1105_360.1297_1.92,0.17997724903055926,1105
1110_319.1524_1.96,0.13109655433390047,1110
1113_238.1055_1.92,0.1644616928605893,1113
1114_253.1652_1.95,0.14635719426745772,1114
1115_339.2038_1.95,0.1765426054487935,1115
1116_270.1918_1.95,0.15418970787686362,1116
1119_238.1115_1.96,0.13358901744323748,1119
111_260.0748_0.22,0.15882885759481744,111
1120_211.1446_2.03,0.12410431016802097,1120
1121_190.0502_1.87,0.1630399445171174,1121
1122_162.0553_1.92,0.19677930689051534,1122
1123_167.0707_1.94,0.1182112355653557,1123
1124_346.1504_1.94,0.13637006852211941,1124
1125_237.0735_1.94,0.1436341882896168,1125
1126_422.7192_1.98,0.1557269557685026,1126
1127_230.0431_1.94,0.1848016751349254,1127
1129_387.1634_2.09,0.13147970338972884,1129
1130_265.1191_1.96,0.1820163088549401,1130
1131_209.0644_1.95,0.18346704130433863,1131
1132_295.166_1.96,0.13404022851764735,1132
1133_431.2144_1.98,0.19395862353289364,1133
1134_392.1923_2.0,0.1752455596094992,1134
1136_350.0854_1.97,0.16249187609571958,1136
1137_256.0273_1.99,0.1502341506113169,1137
1138_245.1615_1.97,0.16021442769827265,1138
1139_139.0756_1.97,0.11157290313759738,1139
1140_296.1162_1.92,0.1578891482720128,1140
1141_220.1186_1.97,0.15874026555759624,1141
1142_203.0918_1.97,0.1312065924398265,1142
1143_148.0395_2.01,0.17390848317217558,1143
1144_205.0452_1.99,0.141673656797483,1144
1146_245.1866_2.04,0.20493456302251933,1146
1147_324.2179_1.98,0.1721293211175658,1147
114_156.0424_0.22,0.12928347695843925,114
1151_369.1164_2.0,0.18823194938867882,1151
1153_415.7306_1.99,0.1623311032097487,1153
1154_180.1024_1.95,0.1455430223796095,1154
1155_202.0843_1.98,0.12046056254672556,1155
1156_254.1028_1.99,0.19062582848368687,1156
1157_185.0812_2.0,0.15054565766342096,1157
1159_347.1345_2.01,0.1907608892899371,1159
115_238.0935_0.29,0.16195409215345885,115
1160_358.148_2.0,0.13354680968685043,1160
1163_310.148_2.0,0.21595769809134532,1163
1164_413.1424_2.0,0.14886597564559392,1164
1165_195.1132_2.03,0.17833305653728343,1165
1166_348.1297_2.05,0.16638710312063795,1166
1167_316.1761_2.0,0.19582002459187126,1167
1168_241.0504_2.0,0.12175326068304687,1168
1169_240.1228_2.01,0.1352709840937144,1169
116_220.0822_0.24,0.17144594584901154,116
1170_273.1239_2.0,0.15008150465197334,1170
1172_223.1546_2.01,0.1307379525962599,1172
1173_186.1128_2.01,0.1260171201619602,1173
1174_407.24_2.01,0.16509219697841848,1174
1175_203.1182_2.05,0.101873148003668,1175
1176_195.0881_2.03,0.13640099827435626,1176
1177_410.1059_2.02,0.12786724275026262,1177
1178_463.1587_2.02,0.12114962356732871,1178
1179_457.1116_2.05,0.14348910195045927,1179
117_151.1444_0.22,0.16641346796144096,117
1180_214.1078_2.03,0.14379610615953675,1180
1181_200.1284_2.14,0.15900676025122396,1181
1182_267.1443_1.99,0.15943960835601043,1182
1183_263.1396_2.16,0.12745554222919622,1183
1184_245.1866_2.13,0.21430309733982827,1184
1185_307.1773_2.03,0.1739824546220042,1185
1186_225.0739_1.98,0.14028130607829611,1186
1187_497.3135_2.04,0.1896467881383705,1187
1188_199.0981_2.04,0.16017758265799584,1188
1189_346.2231_2.05,0.13772889949839628,1189
1190_269.0096_2.05,0.14766745591911787,1190
1191_605.8627_2.06,0.15569178387892763,1191
1192_269.0994_2.05,0.15154349976640663,1192
1194_327.1413_1.98,0.14195761062365744,1194
1195_232.1185_2.02,0.1296959716047059,1195
1196_349.0905_2.05,0.1162546665386791,1196
1197_198.1128_1.94,0.16385721946377213,1197
1199_264.0542_2.05,0.08873802965683103,1199
119_203.053_0.22,0.25504390290339235,119
1200_271.166_2.04,0.16058487926395573,1200
1201_134.0272_2.05,0.14019513590966623,1201
1202_246.0234_2.05,0.1080573754904011,1202
1204_224.0415_2.05,0.16278567722815615,1204
1205_176.0379_2.05,0.14688384082416633,1205
1206_219.1135_2.04,0.18337738943114906,1206
1207_479.2614_2.08,0.1629458751000808,1207
1208_435.1294_2.04,0.22550835202874764,1208
1212_308.1976_2.05,0.14284662120412203,1212
1213_256.1914_2.06,0.21022511644289757,1213
1214_336.2289_2.0,0.10758790114371324,1214
1216_351.1057_2.02,0.13383751052983597,1216
1217_234.1494_2.08,0.12221210693099653,1217
1218_310.1655_2.07,0.146532640254474,1218
1219_569.2931_2.02,0.1475728054577267,1219
121_136.0485_0.22,0.19420149072068346,121
1220_215.1261_2.09,0.13869927712427,1220
1223_302.2084_2.09,0.12468313678003667,1223
1224_218.1393_2.12,0.15325461785721928,1224
1227_181.0975_2.09,0.18183179154321186,1227
1228_496.2038_2.08,0.16248316858981127,1228
1229_501.1591_2.08,0.13323499951329645,1229
1232_193.1438_2.09,0.15918022996355774,1232
1234_158.118_2.09,0.14701721019766759,1234
1235_284.1711_2.01,0.14310062226609307,1235
1236_356.1048_2.07,0.16732852354127964,1236
1237_317.2079_2.1,0.13273956246646293,1237
1238_263.1032_2.09,0.15963269506745495,1238
