ID,comp1,GroupContrib,importance
4584_333.3008_5.96,2.7240318307241873,Ctns gene knockout_9,-0.04821484075777703
4583_350.3274_5.96,2.697006935397222,Ctns gene knockout_9,-0.04773650529561805
999_197.1288_1.71,2.6589433645031324,Ctns gene knockout_9,-0.04706278739385514
4579_394.3537_5.94,2.6468384085212318,Ctns gene knockout_9,-0.046848531995491424
4560_438.3802_5.92,2.642646402469914,Ctns gene knockout_9,-0.04677433429268183
3285_304.1762_4.2,2.6421697709676506,Ctns gene knockout_9,-0.04676589800654062
4814_329.2485_6.41,2.6243544957799427,wild type control_9,0.046450571053843835
1270_204.1236_2.15,2.5995775857059154,wild type control_9,0.04601202449935243
4115_544.3387_5.28,2.579708583895506,wild type control_9,0.04566034697947184
4479_414.3223_5.78,2.558982848583029,Ctns gene knockout_9,-0.04529350544098172
1589_211.1445_2.45,2.5534747293988223,Ctns gene knockout_9,-0.045196012788235894
3456_212.2014_4.43,2.5230001302651317,Ctns gene knockout_9,-0.04465661823057489
1419_123.0807_2.41,2.5109183154774617,wild type control_9,0.044442772426909076
3623_411.2514_4.66,2.499037596714393,Ctns gene knockout_9,-0.04423248598429544
4468_458.3485_5.76,2.4832661102439517,Ctns gene knockout_9,-0.043953333699762995
4098_214.217_5.24,2.4812764250524237,Ctns gene knockout_9,-0.04391811665362366
4093_426.3589_5.24,2.46858731049469,wild type control_9,0.043693521760547215
1660_165.1027_2.51,2.462875373883268,Ctns gene knockout_9,-0.04359242157844508
43_146.0302_0.2,2.453660035496902,Ctns gene knockout_9,-0.043429311857106204
1266_123.0807_2.22,2.447012814162473,wild type control_9,0.04331165731485513
3974_355.1551_5.11,2.4437590805077662,wild type control_9,0.04325406685344404
4114_438.299_5.26,2.431481371122698,wild type control_9,0.04303675375298958
3553_413.2673_4.57,2.413986334861343,Ctns gene knockout_9,-0.04272709496784663
371_144.0658_0.42,2.3856763084280597,Ctns gene knockout_9,-0.04222601293167735
4369_570.4225_5.58,2.3691799922444066,wild type control_9,0.041934031300290414
635_187.1445_0.78,2.362400945221612,Ctns gene knockout_9,-0.041814043468648004
3552_391.2852_4.56,2.361769904796177,Ctns gene knockout_9,-0.04180287417419229
4684_355.2849_6.16,2.3518322625094776,wild type control_9,0.041626979812402265
4936_420.3332_6.61,2.3510882136197835,Ctns gene knockout_9,-0.04161381028981153
1141_220.1186_1.97,2.3504774905168793,wild type control_9,0.04160300060806644
4449_228.2328_5.76,2.3455158712888617,Ctns gene knockout_9,-0.04151518089969101
3791_408.3119_4.88,2.3087475194428566,Ctns gene knockout_9,-0.040864388126572136
1262_194.0815_2.14,2.3026206636509965,Ctns gene knockout_9,-0.04075594395458467
3562_392.2887_4.57,2.302480461026879,Ctns gene knockout_9,-0.04075346239503775
35_169.0462_0.2,2.2996450530540793,Ctns gene knockout_9,-0.04070327621793441
3620_371.2592_4.66,2.298353089497201,Ctns gene knockout_9,-0.040680408710860094
3622_389.2695_4.66,2.296012895130174,Ctns gene knockout_9,-0.04063898771956483
3549_803.5452_4.57,2.2898225956133342,Ctns gene knockout_9,-0.040529420605817844
3555_408.3119_4.57,2.267489437058527,Ctns gene knockout_9,-0.04013412798434654
3554_373.2748_4.57,2.267138453578316,Ctns gene knockout_9,-0.04012791564408821
3965_437.1942_4.93,2.2593496311374324,Ctns gene knockout_9,-0.039990054981286056
2100_171.102_2.85,2.257693050443977,wild type control_9,0.03996073382085156
335_153.0662_0.38,2.248520511146752,Ctns gene knockout_9,-0.03979838163517883
1058_136.076_1.85,2.236308702224121,Ctns gene knockout_9,-0.03958223496026551
1350_211.1446_2.34,2.2316559708378754,Ctns gene knockout_9,-0.03949988250742471
4384_526.3961_5.61,2.229185198151024,wild type control_9,0.03945615030492195
4023_325.2383_5.16,2.2195036933149432,Ctns gene knockout_9,-0.03928478952686409
4392_482.3697_5.63,2.2153294894938815,wild type control_9,0.03921090692011441
3657_500.362_4.71,2.214746291203148,Ctns gene knockout_9,-0.0392005844222637
4131_522.3567_5.28,2.2075610728545807,wild type control_9,0.039073407436085124
2729_190.1264_3.52,2.2070230714099233,Ctns gene knockout_9,-0.039063884913738266
3626_406.2964_4.66,2.206603201306654,Ctns gene knockout_9,-0.03905645329346872
4565_602.5008_5.93,2.200826620921771,wild type control_9,0.0389542089289792
2640_517.3468_3.39,2.2002766679575023,Ctns gene knockout_9,-0.03894447486702831
2083_269.1371_2.91,2.1948239915622554,Ctns gene knockout_9,-0.03884796354100954
382_161.081_0.44,2.186875842050423,Ctns gene knockout_9,-0.03870728281962086
3187_480.3152_4.06,2.1849321961234605,Ctns gene knockout_9,-0.038672880659631016
1947_241.1441_2.81,2.1771394786222906,wild type control_9,0.03853495105500911
4570_441.3739_5.93,2.1763349738033666,wild type control_9,0.038520711474070386
4346_614.4488_5.56,2.1726926694238076,wild type control_9,0.038456243385382484
4224_464.3148_5.38,2.1714803800309754,wild type control_9,0.038434786095725114
3273_348.2026_4.18,2.1694329016054232,Ctns gene knockout_9,-0.038398546120432045
3758_413.2671_4.87,2.1678903415443256,Ctns gene knockout_9,-0.03837124310331371
4491_370.2961_5.8,2.1613967376356187,Ctns gene knockout_9,-0.03825630756002414
4351_441.227_5.57,2.1602479381135975,Ctns gene knockout_9,-0.038235974028898646
4572_423.3633_5.93,2.157278487129365,wild type control_9,0.0381834153162111
1636_269.1754_2.43,2.1572410351863844,wild type control_9,0.038182752424006046
4009_400.3433_5.14,2.1545205759169486,wild type control_9,0.038134600816897624
180_165.1027_0.24,2.151800675155857,Ctns gene knockout_9,-0.038086459095279745
529_231.0852_0.58,2.149993785700062,Ctns gene knockout_9,-0.0380544774985908
4974_569.4792_6.7,2.1358862627648163,wild type control_9,0.03780477704937515
3700_537.4272_4.76,2.1349969437598486,Ctns gene knockout_9,-0.03778903627361631
4145_480.3464_5.33,2.1339380052765224,wild type control_9,0.03777029326563453
64_204.9576_0.21,2.1283772083844563,wild type control_9,0.037671868227566595
427_173.1289_0.47,2.127301090562577,Ctns gene knockout_9,-0.03765282114858855
3649_439.3583_4.69,2.1256355119107595,wild type control_9,0.037623340726017425
2148_484.2818_2.96,2.122278343607245,Ctns gene knockout_9,-0.03756391949116791
